day,time,part1,part2
1,0.03073716163635254,1834060,21607792
2,0.02822709083557129,341,404
3,0.026683330535888672,166357705,88811886
4,0.1568288803100586,2370,1908
5,0.05147695541381836,4872,5564
6,16.230561017990112,4656,1575
7,2.5548627376556396,303848560401,146108579197110
8,0.026171207427978516,295,1034
9,7.823939800262451,6359213660505,6381624803796
10,0.11390495300292969,794,1706
11,0.12037920951843262,203609,240954878211138
12,0.4527120590209961,1546338,978590
13,0.07819914817810059,37128,74914228471331
14,2.339319944381714,210587128,7286
15,0.7679550647735596,1456590,1489116
16,13.55324387550354,83432,467
17,0.03951692581176758,"6,0,6,3,0,2,3,1,6",236539226447469
18,1.4559860229492188,344,"(46, 18)"
19,0.4879617691040039,272,1041529704688380
20,2.922913074493408,1363,1007186
21,0.14401698112487793,179444,223285811665866
22,2.6861178874969482,13234715490,1490
23,0.1420290470123291,1348,"am,bv,ea,gh,is,iy,ml,nj,nl,no,om,tj,yv"
24,0.030024051666259766,65635066541798,"dgr,dtv,fgc,mtj,vvm,z12,z29,z37"
25,0.11622095108032227,3223,Done!
